Регион;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;21979468;23151295;24206090;25443718;27484301;30685658;33807564;37616838;38841270;40973358;50325372
Центральный федеральный округ;7873475;8401006;8674809;8525743;9524783;10357399;10752029;12555606;12788566;14654112;17570619
Белгородская область;158134;179009;133931;181997;194167;200951;215153;278031;292500;284261;332832
Брянская область;131752;127467;179154;170371;263055;195970;215573;174572;155414;159914;159907
Владимирская область;52078;71629;78083;79167;86551;91185;99948;107580;115279;132256;237971
Воронежская область;330738;438830;366116;382849;350809;373886;393937;398787;396847;375095;438849
Ивановская область;64534;66742;75792;96081;95531;96823;99667;101986;105705;117068;150522
Калужская область;352178;331107;320705;306217;241140;359346;412257;388251;355131;310993;549147
Костромская область;71467;77355;73225;71990;141412;198216;210195;222880;230019;228129;242895
Курская область;229198;216898;220053;226830;220927;235272;246563;246572;236319;208119;235456
Липецкая область;244854;187229;255387;291512;263503;257986;207209;221641;325756;300984;393264
Московская область;811423;897907;887809;1039466;995627;1147502;1246952;1449011;2087872;2573715;3084139
Орловская область;104029;106675;114167;128813;138849;105909;88685;142014;146079;133856;88124
Рязанская область;130916;118972;119456;119248;131742;214549;171484;178467;276013;316755;330532
Смоленская область;123324;124924;118768;106774;94457;82794;137802;144449;143248;277126;307632
Тамбовская область;107393;101585;104609;112881;122875;145139;128894;146797;175640;159962;135666
Тверская область;169486;165299;177703;177114;183083;182741;242147;245900;256884;263401;282184
Тульская область;226788;239059;298781;251830;277766;368157;375464;357924;373865;357986;360079
Ярославская область;185710;188873;221392;226529;232664;221316;237368;291713;234692;280477;342112
г. Москва;4379473;4761446;4929678;4556074;5490625;5879657;6022731;7459031;6881303;8174015;9899308
Северо-Западный федеральный округ;2541820;3119783;3260128;3452428;3783031;4522383;4815338;5176613;5138437;5191289;7006570
Республика Карелия;77786;84083;91429;80951;56395;66493;88094;104698;101230;105181;98452
Республика Коми;215724;256318;279714;180733;268860;287849;282121;220038;229454;173534;203927
Архангельская область;319568;452047;456906;473138;492814;479555;478444;460658;355748;566738;691266
Ненецкий автономный округ;;1125;521;517;1333;2148;2245;1043;988;1193;4585
Архангельская область (кроме Ненецкого автономного округа);319568;450922;456385;472621;491481;477407;476199;459615;354760;565545;686681
Вологодская область;102371;142210;156500;152429;159179;202993;203725;217829;209770;276284;309406
Калининградская область;181253;245724;244564;268777;358980;424957;409575;589955;452538;408661;393109
Ленинградская область;110488;137046;159011;140679;144737;142318;179695;251600;189787;208726;410754
Мурманская область;232709;296952;287712;250168;277269;334037;341879;362352;362974;344555;405810
Новгородская область;136993;151935;165352;287704;340509;458851;537839;530500;323612;277475;355509
Псковская область;59869;45830;36066;35964;39850;77858;101319;141391;129332;152580;209033
г.Санкт-Петербург;1105059;1307638;1382874;1581885;1644438;2047472;2192647;2297592;2783992;2677555;3929304
Южный федеральный  округ;1290367;1453694;1925633;2015856;2008876;2012289;2343329;2583801;2350158;2818874;3771869
Республика Адыгея;40720;26517;24681;9551;6809;7567;6275;22285;16075;13298;11055
Республика Калмыкия;3702;3787;4069;4180;6254;7085;5515;4309;4702;3892;5644
Республика Крым;;;;72162;73589;55077;69600;92888;85396;113772;299018
Краснодарский край;296726;373818;428152;498936;575016;623076;985968;1138251;953448;1363625;2086109
Астраханская область;234871;205638;215691;228226;208164;228256;220313;239337;234417;213163;235486
Волгоградская область;357046;381730;465602;616769;587398;567301;556909;492127;460755;486921;460708
Ростовская область;357302;462204;787438;444153;432255;410120;445637;542949;529714;589384;521682
г.Севастополь;;;;141879;119391;113807;53112;51655;65651;34819;152167
Северо-Кавказский федеральный округ;1268654;486730;440477;571500;574688;526163;708391;716147;597890;726479;735924
Республика Дагестан;133972;185173;109831;208685;240247;194897;262464;221127;167127;160228;155748
Республика Ингушетия;807461;2849;3003;17028;17773;14115;11831;3214;7761;15176;16712
Кабардино-Балкарская Республика;17358;18398;18634;17206;23525;17618;17202;22515;27911;28655;33182
Карачаево-Черкесская Республика;7811;8596;11321;12285;5123;6402;23677;24869;23023;17534;36003
Республика Северная Осетия - Алания;53432;40014;46570;38072;46001;43617;39705;41543;38775;44444;38156
Чеченская Республика;16690;12527;11751;15692;18820;10960;23761;26808;16617;54467;69125
Ставропольский край;231930;219173;239367;262532;223199;238554;329751;376071;316676;405975;386998
Приволжский федеральный округ;2891143;3324699;3956914;4513829;5269384;5407201;6415985;6959974;7388988;7323436;8643779
Республика Башкортостан;196685;232750;216692;248851;430480;464285;538766;683712;864840;858134;1031902
Республика Марий Эл;52942;39246;39762;54653;75262;104436;103590;142316;138287;115579;145114
Республика Мордовия;49215;58750;36131;63280;42689;91250;65823;70110;95408;97925;150365
Республика Татарстан;327862;471794;678959;886992;1046655;1130052;1189098;1238904;1276723;1326215;1260291
Удмуртская Республика;73515;162655;166570;176663;195065;130947;156190;278688;487545;623170;893387
Чувашская Республика;59526;61212;64222;73262;85369;75236;95221;121143;140911;145091;168973
Пермский край;353075;465659;565815;654541;704305;564437;949085;582598;455340;524864;902778
Кировская область;77959;85713;84346;85994;94545;103348;144356;253551;243616;299778;295038
Нижегородская область;675064;697432;1068845;1144832;1441941;1513815;1655968;1650144;1532090;1302206;1663195
Оренбургская область;109935;211021;211116;253052;227697;238035;218274;237014;199695;188268;132779
Пензенская область;216717;186290;183088;169663;156660;176703;253728;323082;392391;366229;367911
Самарская область;228167;190359;191503;236914;207214;264091;371238;534704;557319;506976;559237
Саратовская область;415727;406471;369618;362803;467066;477593;612133;671158;644512;630116;707805
Ульяновская область;54754;55347;80247;102329;94436;72973;62515;172850;360311;338885;365004
Уральский федеральный округ;2315942;2520109;2250593;2386956;2366690;2877389;3267016;3559696;3884092;4020304;4429739
Курганская область;117455;132540;133579;147463;91038;190998;145093;149135;163494;128757;126194
Свердловская область;1159225;1262149;1216479;1229362;1279348;1430598;1495677;1629851;1876901;2062800;2237636
Тюменская область;497028;568164;526523;563747;581574;755073;857101;937708;958725;967129;1063285
Ханты-Мансийский автономный округ-Югра;96173;120670;76354;99118;67590;78550;84852;104610;142601;138707;175211
Ямало-Ненецкий автономный округ;58206;68559;62489;83775;110072;126838;149455;214207;161848;179837;169160
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа);342649;378935;387680;380854;403912;549685;622794;618891;654276;648585;718914
Челябинская область;542234;557256;374012;446384;414730;500720;769145;843002;884972;861618;1002624
Сибирский федеральный округ;2495243;2526367;2538158;2725300;2670450;3256870;3585366;4043261;4301529;4067024;5484526
Республика Алтай;4650;5527;4083;11120;7848;9651;13241;11089;6542;21637;23446
Республика Тыва;7543;6132;5514;6769;6529;7178;8088;6675;9780;9065;7479
Республика Хакасия;55216;52066;55375;49445;50380;48400;39040;71174;95911;75839;89611
Алтайский край;204764;161291;189203;281414;257099;287363;264641;307326;332416;335066;415826
Красноярский край;610008;548717;589018;577441;618264;587259;784939;949518;1005580;1009395;1127000
Иркутская область;363635;327103;347368;348255;339498;615871;600228;599350;530886;520961;683475
Кемеровская область ;264628;268453;326272;345935;279949;348393;459463;445039;487295;507318;641781
Новосибирская область;302941;331582;198056;238603;164468;356760;390682;624451;701104;844139;1157070
Омская область;494209;502880;445148;508367;600074;598350;687433;676286;681744;487422;775309
Томская область;187649;322616;378121;357951;346341;397645;337611;352353;450271;256182;563529
Дальневосточный федеральный округ;1302824;1318907;1159378;1252106;1286399;1725964;1920110;2021740;2391610;2171840;2682346
Республика Бурятия;103433;98351;2950;1114;160040;178287;215326;182959;213600;199704;231619
Республика Саха (Якутия);50702;103136;103697;95993;87790;82100;81305;76134;134181;139702;247800
Забайкальский край;104127;137762;131845;148653;170509;171528;140990;167800;203567;172314;119122
Камчатский край;13928;7328;12099;2100;7520;6397;5712;5205;30732;28019;33763
Приморский край;464356;423786;299681;378429;296879;622109;688204;748780;843665;813059;894500
Хабаровский край;252881;261345;276836;330648;273377;400064;452594;450542;494684;487748;686518
Амурская область;185194;164643;186843;167295;156200;148486;167661;162356;189366;164545;224767
Магаданская область;20421;16764;14824;16123;14776;16411;15213;13332;13985;11669;11953
Сахалинская область;88809;83489;104226;81945;99342;72622;87159;177147;194470;98491;189054
Еврейская автономная область;17937;21145;25141;28570;18528;26312;61041;32521;68162;51293;31152
Чукотский автономный округ;1036;1158;1236;1236;1438;1648;4905;4964;5198;5296;12098
